材料类别编号,材料类别名称,材料类别英文名称,材料父类编号,材料父类名称,材料父类英文名称,表名,neo4j编号
0f3fb988,弹头部,Warhead,f31660c0,弹体,Projectile body,,
ee2b15a7,弹托,Sabot,4a81fc9f,常规部件,Conventional components,,
52c015c6,护膛剂,Bore protecting agent,7b1ae77e,发射装药辅助元件,Auxiliary element of propellant charge,,
d4fa3874,排气孔,Vent,d124e1e0,排气装置壳体,Exhaust housing,,
9c231406,排气药柱,Exhaust grain,1f26ad77,排气装置,exhaust,,
1f26ad77,排气装置,exhaust,474f52f3,弹尾部,Bullet tail,,
d124e1e0,排气装置壳体,Exhaust housing,1f26ad77,排气装置,exhaust,,
62e1e53a,核装药,Nuclear charge,3efd8d84,装填物,Filler,,
c7d5c4ac,消焰剂,Flame suppressant,7b1ae77e,发射装药辅助元件,Auxiliary element of propellant charge,,
5300a819,火帽,Fire hat,97e46a0b,底火,Primer,,
b0c5e681,火帽座,Fire cap base,97e46a0b,底火,Primer,,
7804e183,炸药装药,Explosive charge,da6f1189,雷体零部件,Lightning body parts,,
154956f9,点火器,Igniter,1f26ad77,排气装置,exhaust,,
9f097f9c,点火药,Igniting powder,7b1ae77e,发射装药辅助元件,Auxiliary element of propellant charge,,
4c996efe,爆管,Tube burst,4a81fc9f,常规部件,Conventional components,,
72304a6e,生物战剂,Biological warfare agent,3efd8d84,装填物,Filler,,
efb98eca,紧塞盖,Tighten the plug cap,7b1ae77e,发射装药辅助元件,Auxiliary element of propellant charge,,
75533eb4,药筒,Cartridge,f3450e02,发射装药,Launching charge,,
3efd8d84,装填物,Filler,c21b60be,弹丸,projectile,,
bb3ccd2d,闭气塞,Air lock plug,97e46a0b,底火,Primer,,
e1a5911c,防潮盖,Damp proof cover,7b1ae77e,发射装药辅助元件,Auxiliary element of propellant charge,,
104727ef,除铜剂,Copper remover,7b1ae77e,发射装药辅助元件,Auxiliary element of propellant charge,,
57ddab44,风帽,a hood,4a81fc9f,常规部件,Conventional components,,
42f9ce46,黑火药,Black powder,97e46a0b,底火,Primer,,
1f5229ae,C形药包,C-shaped charge,a303ff4a,药包,Medicine bag,,
152e706e,B炸药,B explosive,7804e183,炸药装药,Explosive charge,,
