装备类别编号,装备类别名称,装备类别英文名称,装备父类编号,装备父类名称,装备父类英文名称,表名,neo4j编号
7d34088e,巡洋舰,Cruiser,,战斗舰艇,,,
3f178ee9,布雷舰,Minelayer,,战斗舰艇,,,
c0de7f23,战列舰,battleship,,战斗舰艇,,,
905b06fe,护卫舰,frigate,,战斗舰艇,,,
ff500ac2,护卫艇,Escort boat,,战斗舰艇,,,
c8789bd8,猎潜舰,submarine chaser,,战斗舰艇,,,
77a512b0,登陆舰艇,landing ship,,战斗舰艇,,,
09da6df7,航空母舰,Aircraft carrier,,战斗舰艇,,,
51da4a44,驱逐舰,destroyer,,战斗舰艇,,,
f88c2d6b,鱼雷舰,Torpedo ship,,战斗舰艇,,,
2e033b9b,地效飞行器,Ground effect aircraft,,空中目标,,,
bed108d9,翼地效应机,Wing ground effector,,空中目标,,,
eed0c63d,飞机,aircraft,,空中目标,,,
c9538a72,侦察机,Reconnaissance aircraft,,飞机,,,
5016213c,军用运输机,military transport,,飞机,,,
5f9eb645,反潜机,Antisubmarine aircraft,,飞机,,,
d0d7072a,强击机,Attacker Aircraft,,飞机,,,
da973a8e,战场监视机,Battlefield surveillance aircraft,,飞机,,,
04a3a309,战斗机,fighter,,飞机,,,
c532fb24,战斗轰炸机,Fighter bomber,,飞机,,,
b7389d12,攻击机,Attack aircraft,,飞机,,,
391ef3a3,教练机,trainer,,飞机,,,
395845e3,无人驾驶飞机,Unmanned aircraft,,飞机,,,
c9c8ad89,歼击机,The fighter,,飞机,,,
010ce863,歼击轰炸机,Fighter bomber,,飞机,,,
1a8dab8c,特种作战飞机,Special combat aircraft,,飞机,,,
2679cd0f,电子对抗飞机,Electronic countermeasure aircraft,,飞机,,,
5a74e76a,直升机,helicopter,,飞机,,,
5e1730bd,空中加油机,Aerial tanker,,飞机,,,
c03857d1,空天战斗机,Aerospace fighter,,飞机,,,
faf761c5,空天轰炸机,Space bomber,,飞机,,,
8622d8c8,试验机,testing machine,,飞机,,,
5bb294cb,轰炸机,bomber,,飞机,,,
ad1049ba,预警机,AWACS,,飞机,,,
aaff4c54,战术侦察机,Tactical reconnaissance aircraft,,侦察机,,,
e33334b7,战略侦察机,Strategic reconnaissance aircraft,,侦察机,,,
a7802e41,反潜直升机,Antisubmarine helicopter,,反潜机,,,
c15ab306,岸基反潜飞机,Shore based antisubmarine aircraft,,反潜机,,,
b4e93662,水上反潜飞机,Water antisubmarine aircraft,,反潜机,,,
f8350c72,舰载反潜机,Shipborne antisubmarine aircraft,,反潜机,,,
7b40acce,反雷达飞机,Anti radar aircraft,,电子对抗飞机,,,
b2b59941,电子侦察飞机,Electronic reconnaissance aircraft,,电子对抗飞机,,,
39d9fa59,电子干扰飞机,Electronic jamming aircraft,,电子对抗飞机,,,
80d623b2,多用途直升机,Multipurpose helicopter,,直升机,,,
0ca8e3da,攻击直升机,Attack helicopter,,直升机,,,
2cceb1ad,武装直升机,armed helicopter,,直升机,,,
20678cb0,运输直升机,Transport helicopter,,直升机,,,
6c7c6000,半密闭空间,Semi confined space,,工程设施类目标,,,
52513ed9,人员目标,Personnel objectives,,有生力量类目标,,,
4bf2391f,动物,animal,,有生力量类目标,,,
eb015f5d,非生物模拟物,Abiotic simulant,,有生力量类目标,,,
2d90d3d3,轻型火器,Light firearms,,火器,,,
a8e03a07,战斗火器,Combat firearms,,火器,,,
729c13a9,海军炮,naval gun,,火炮,,,
7abc9849,空军炮,Air gun,,火炮,,,
5c33ba98,陆军炮,Army gun,,火炮,,,
ddfee500,海岸及要塞炮,Coast and fortress gun,,海军炮,,,
7075367f,舰载火炮,Shipborne gun,,海军炮,,,
209bd6b6,机载火炮,Airborne artillery,,空军炮,,,
cf2e296d,反坦克火炮,AT gun ,,陆军炮,,,
8a117aa9,地面压制火炮,Ground suppression artillery,,陆军炮,,,
3ee247f8,高射炮,antiaircraft gun,,陆军炮,,,
3bac5a23,反坦克炮,Anti tank gun,,反坦克火炮,,,
409bb901,坦克炮,Tank gun,,反坦克火炮,,,
c1c1d847,无后坐力炮,recoilless gun,,反坦克火炮,,,
09e7e5a0,加农榴弹炮,gun-howitzer,,地面压制火炮,,,
f9693526,加农炮,Cannon,,地面压制火炮,,,
a1641dee,榴弹炮,Howitzer,,地面压制火炮,,,
d90b04c6,火箭炮,rocket gun,,地面压制火炮,,,
312699bd,迫击炮,Mortar,,地面压制火炮,,,
3e0972e6,城防炮,Urban defense gun,,高射炮,,,
f9e371f8,野战炮,Field artillery,,高射炮,,,
b0b11aa1,步兵战车,Infantry fighting vehicle,,装甲车,,,
358da943,装甲侦察车,Armored reconnaissance vehicle,,装甲车,,,
171845d2,装甲回收车,Armored recovery vehicle,,装甲车,,,
c794b55c,装甲扫雷车,Armored Minesweeper,,装甲车,,,
dabb1a20,装甲抢救车,Armored rescue vehicle,,装甲车,,,
a4eda5ec,装甲指挥车,Armored command vehicle,,装甲车,,,
29b24087,装甲救护车,Armored ambulance,,装甲车,,,
c4e6bbcd,装甲架桥车,Armored bridge erecting vehicle,,装甲车,,,
5a3b998b,装甲输送车,armored carrier,,装甲车,,,
756f4704,装甲通信车,Armored communication vehicle,,装甲车,,,
db6d4e63,装甲防护车,Armored protective vehicle,,装甲车,,,
272236c3,警用装甲车,Police armored vehicle,,装甲车,,,
363fd32f,冲锋枪,Submachine gun,,枪支,,,
51fae2b2,手枪,Pistol,,枪支,,,
eb883bcf,散弹枪,Shotgun,,枪支,,,
3cdcf1ee,机枪,machine gun,,枪支,,,
0c0146cc,步枪,Rifle,,枪支,,,
448fd216,狙击步枪,Sniper rifle,,枪支,,,
deea72dd,霰弹枪,Shotgun,,枪支,,,
,,,,,,,
