目标类别编号,目标类别名称,目标类别英文名称,目标父类编号,目标父类名称,目标父类英文名称,表名,neo4j编号
fd3e4ad4,潜艇,submarine,98586e6f,水下目标,Underwater target,target_parameter_table_03submarine,
io2eo0rq,常规动力潜艇,Conventional powered submarine,fd3e4ad4,潜艇,submarine,target_parameter_table_03submarine,
4i8nmenf,无人潜艇,Unmanned submarine,fd3e4ad4,潜艇,submarine,target_parameter_table_03submarine,
ihhzhx3z,核动力潜艇,Nuclear powered submarine,fd3e4ad4,潜艇,submarine,target_parameter_table_03submarine,
20cc7907,中型潜艇,Medium submarine,io2eo0rq,常规动力潜艇,Conventional powered submarine,target_parameter_table_03submarine,
889b950d,大型潜艇,Large submarine,io2eo0rq,常规动力潜艇,Conventional powered submarine,target_parameter_table_03submarine,
119eaacf,小型潜艇,small submarine,io2eo0rq,常规动力潜艇,Conventional powered submarine,target_parameter_table_03submarine,
4a769e77,袖珍潜艇,midget submarine,io2eo0rq,常规动力潜艇,Conventional powered submarine,target_parameter_table_03submarine,
fa2db348,半浮半沉型无人潜艇,Semi floating and semi sinking unmanned submarine,4i8nmenf,无人潜艇,Unmanned submarine,target_parameter_table_03submarine,
5b55dfe5,智能型无人潜艇,Intelligent unmanned submarine,4i8nmenf,无人潜艇,Unmanned submarine,target_parameter_table_03submarine,
0c798ae3,遥控潜水艇型无人潜艇,Remote control submarine unmanned submarine,4i8nmenf,无人潜艇,Unmanned submarine,target_parameter_table_03submarine,
a1c3a222,一壳半潜艇,A shell and a half submarine,ihhzhx3z,核动力潜艇,Nuclear powered submarine,target_parameter_table_03submarine,
2c473c1b,单壳潜艇,Single hull submarine,ihhzhx3z,核动力潜艇,Nuclear powered submarine,target_parameter_table_03submarine,
d2db530a,双壳潜艇,Double hull submarine,ihhzhx3z,核动力潜艇,Nuclear powered submarine,target_parameter_table_03submarine,
bda66273,水上飞机,seaplane,a6f84dbd,水面目标,Surface target,target_parameter_table_01airplane,
4698f766,舰艇,naval vessels,a6f84dbd,水面目标,Surface target,target_parameter_table_02naval,
784b82d8,两栖飞机,Amphibious aircraft,bda66273,水上飞机,seaplane,target_parameter_table_01airplane,
746ef525,水栖型水上飞机,Aquatic seaplane,bda66273,水上飞机,seaplane,target_parameter_table_01airplane,
a8fa4245,浮筒飞机,Pontoon aircraft,bda66273,水上飞机,seaplane,target_parameter_table_01airplane,
ae68f81c,飞艇,Airship,bda66273,水上飞机,seaplane,target_parameter_table_01airplane,
ypo6j1d1,保障辅助舰艇,Support auxiliary ship,4698f766,舰艇,naval vessels,target_parameter_table_02naval,
adgndxb3,勤务舰船,Service ship,4698f766,舰艇,naval vessels,target_parameter_table_02naval,
c65hkfeg,战斗舰艇,Combat ship,4698f766,舰艇,naval vessels,target_parameter_table_02naval,
d45a3748,供应舰船,Supply ship,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
02d8de2b,侦察船,Reconnaissance ship,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
e343914c,修理船,Repair ship,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
3451717f,军事运输船,Military transport ship,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
5f24bd43,基地勤务船,Base service ship,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
2e391f96,工程船,Engineering ship,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
82cf7719,海洋调查船,Marine survey ship,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
effd82c3,海道测量船,Hydrographic survey vessel,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
287c7913,消磁船,Degaussing ship,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
d7a1c212,破冰船,Icebreaker,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
385b9d4b,航标船,Navigation mark ship,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
8e344ec9,训练舰船,Training ship,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
a025a8b9,试验船,Test vessel,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
3b38ba97,通信船,Communication ship,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
684c080a,防险救生船,Rescue boat,adgndxb3,勤务舰船,Service ship,target_parameter_table_02naval,
9775b4ac,两栖作战舰艇,Amphibious warship,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
d35ca28b,反水雷舰艇,Anti mine ship,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
77a42505,导弹舰,Missile ship,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
2e9de8fc,巡洋舰,Cruiser,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
4b4eb74c,布雷舰,Minelayer,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
8c99a37e,战列舰,battleship,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
2b295602,护卫舰,frigate,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
ba72987d,护卫艇,Escort boat,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
98778d14,猎潜舰,submarine chaser,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
ec2f7e59,登陆舰艇,landing ship,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
d2144623,航空母舰,Aircraft carrier,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
edd1764f,驱逐舰,destroyer,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
e539f736,鱼雷舰,Torpedo ship,c65hkfeg,战斗舰艇,Combat ship,target_parameter_table_02naval,
033aae8c,地效飞行器,Ground effect aircraft,f9e917dd,空中目标,air target,,
1070417e,翼地效应机,Wing ground effector,f9e917dd,空中目标,air target,,
92b70f97,飞机,aircraft,f9e917dd,空中目标,air target,target_parameter_table_01airplane,
94add3aa,侦察机,Reconnaissance aircraft,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
f6b32e94,军用运输机,military transport,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
86eeeabd,反潜机,Antisubmarine aircraft,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
a1a07fef,强击机,Attacker Aircraft,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
c75cd9cd,战场监视机,Battlefield surveillance aircraft,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
445206ec,战斗机,fighter,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
79dd0c17,战斗轰炸机,Fighter bomber,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
bead1c2d,攻击机,Attack aircraft,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
e0c80a91,教练机,trainer,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
1336f2bc,无人驾驶飞机,Unmanned aircraft,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
7c92258e,歼击机,The fighter,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
94a1c9e2,歼击轰炸机,Fighter bomber,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
256d774b,特种作战飞机,Special combat aircraft,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
46c4d90d,电子对抗飞机,Electronic countermeasure aircraft,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
96c35554,直升机,helicopter,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
ea4c038b,空中加油机,Aerial tanker,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
ca035b7d,空天战斗机,Aerospace fighter,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
3f64b31b,空天轰炸机,Space bomber,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
6b4005a3,试验机,testing machine,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
73ef0c63,轰炸机,bomber,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
5e329940,预警机,AWACS,92b70f97,飞机,aircraft,target_parameter_table_01airplane,
dfcd4a15,战术侦察机,Tactical reconnaissance aircraft,94add3aa,侦察机,Reconnaissance aircraft,target_parameter_table_01airplane,
2c76a5ca,战略侦察机,Strategic reconnaissance aircraft,94add3aa,侦察机,Reconnaissance aircraft,target_parameter_table_01airplane,
3e9de254,反潜直升机,Antisubmarine helicopter,86eeeabd,反潜机,Antisubmarine aircraft,target_parameter_table_01airplane,
2835a72b,岸基反潜飞机,Shore based antisubmarine aircraft,86eeeabd,反潜机,Antisubmarine aircraft,target_parameter_table_01airplane,
a31f6798,水上反潜飞机,Water antisubmarine aircraft,86eeeabd,反潜机,Antisubmarine aircraft,target_parameter_table_01airplane,
9651dfd3,舰载反潜机,Shipborne antisubmarine aircraft,86eeeabd,反潜机,Antisubmarine aircraft,target_parameter_table_01airplane,
987ee943,反雷达飞机,Anti radar aircraft,46c4d90d,电子对抗飞机,Electronic countermeasure aircraft,target_parameter_table_01airplane,
836708ef,电子侦察飞机,Electronic reconnaissance aircraft,46c4d90d,电子对抗飞机,Electronic countermeasure aircraft,target_parameter_table_01airplane,
fcbb4e0f,电子干扰飞机,Electronic jamming aircraft,46c4d90d,电子对抗飞机,Electronic countermeasure aircraft,target_parameter_table_01airplane,
d0c21796,多用途直升机,Multipurpose helicopter,96c35554,直升机,helicopter,target_parameter_table_01airplane,
d048789e,攻击直升机,Attack helicopter,96c35554,直升机,helicopter,target_parameter_table_01airplane,
c6ebb21c,武装直升机,armed helicopter,96c35554,直升机,helicopter,target_parameter_table_01airplane,
96452d0b,运输直升机,Transport helicopter,96c35554,直升机,helicopter,target_parameter_table_01airplane,
0341e325,半密闭空间,Semi confined space,,工程设施类目标,,,
66ce588e,人员目标,Personnel objectives,,有生力量类目标,,,
ff51e1d2,动物,animal,,有生力量类目标,,,
f80f91db,非生物模拟物,Abiotic simulant,,有生力量类目标,,,
001f03b2,火器,firearm,,装备设备类目标,,,
5ef1224a,火炮,artillery,,装备设备类目标,,,
e5d3a9b8,雷达,radar,,装备设备类目标,,,
3dac0001,轻型火器,Light firearms,001f03b2,火器,firearm,,
0fa955d5,战斗火器,Combat firearms,001f03b2,火器,firearm,,
0ac8c243,海军炮,naval gun,5ef1224a,火炮,artillery,,
f67bdfb0,空军炮,Air gun,5ef1224a,火炮,artillery,,
8f7a449d,陆军炮,Army gun,5ef1224a,火炮,artillery,,
dd70b3b8,海岸及要塞炮,Coast and fortress gun,0ac8c243,海军炮,naval gun,,
86008b53,舰载火炮,Shipborne gun,0ac8c243,海军炮,naval gun,,
728257fb,机载火炮,Airborne artillery,f67bdfb0,空军炮,Air gun,,
a08a3090,反坦克火炮,AT gun ,8f7a449d,陆军炮,Army gun,,
19538a74,地面压制火炮,Ground suppression artillery,8f7a449d,陆军炮,Army gun,,
8902a180,高射炮,antiaircraft gun,8f7a449d,陆军炮,Army gun,,
b597dc9d,反坦克炮,Anti tank gun,a08a3090,反坦克火炮,AT gun ,,
3f72c3ef,坦克炮,Tank gun,a08a3090,反坦克火炮,AT gun ,,
6517bd36,无后坐力炮,recoilless gun,a08a3090,反坦克火炮,AT gun ,,
9441aac0,加农榴弹炮,gun-howitzer,19538a74,地面压制火炮,Ground suppression artillery,,
e9541551,加农炮,Cannon,19538a74,地面压制火炮,Ground suppression artillery,,
cf85b376,榴弹炮,Howitzer,19538a74,地面压制火炮,Ground suppression artillery,,
f0fb1eae,火箭炮,rocket gun,19538a74,地面压制火炮,Ground suppression artillery,,
871ee88c,迫击炮,Mortar,19538a74,地面压制火炮,Ground suppression artillery,,
e7ce8e05,城防炮,Urban defense gun,8902a180,高射炮,antiaircraft gun,,
ed3ee701,野战炮,Field artillery,8902a180,高射炮,antiaircraft gun,,
e8012154,易燃物,combustible,,轻武器目标,,,
9d7df33c,装甲目标,Armored target,,轻武器目标,,,
2a94d07e,柴油,diesel oil,e8012154,易燃物,combustible,,
878fdb98,煤油,kerosene,e8012154,易燃物,combustible,,
db426fa6,自然植被,natural vegetation ,e8012154,易燃物,combustible,,
9ea3f2e0,被服,bedding and clothing,e8012154,易燃物,combustible,,
c243df06,野地干草,Field hay,e8012154,易燃物,combustible,,
45121a12,地面薄壁装甲目标,Ground thin-walled armored target,9d7df33c,装甲目标,Armored target,,
faf2e950,水面薄壁装甲目标,Water thin-walled armored target,9d7df33c,装甲目标,Armored target,,
dadf7a43,装甲保障车侧装甲,Side armor of armored support vehicle,9d7df33c,装甲目标,Armored target,,
6967874c,装甲防护车,Armored protective vehicle,9d7df33c,装甲目标,Armored target,,
ceed6a6a,轻装甲目标,Light armored target,9d7df33c,装甲目标,Armored target,,
6f1e2e3a,轻型舟艇,Light boat,faf2e950,水面薄壁装甲目标,Water thin-walled armored target,,
4d3e1543,轻型船艇,Light boat,faf2e950,水面薄壁装甲目标,Water thin-walled armored target,,
92b9d3d3,车辆及装甲目标,Vehicle and armored target,,重武器目标,,,
7f31a42c,披挂反应装甲目标,Target with reactive armor,92b9d3d3,车辆及装甲目标,Vehicle and armored target,,
4cc806ab,火力设施,Firepower facilities,92b9d3d3,车辆及装甲目标,Vehicle and armored target,,
d60f5fd8,集团目标,Group objectives,92b9d3d3,车辆及装甲目标,Vehicle and armored target,,
13966675,步兵战车,Infantry fighting vehicle,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
695ab96f,装甲侦察车,Armored reconnaissance vehicle,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
8efa187c,装甲回收车,Armored recovery vehicle,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
cae41e5f,装甲扫雷车,Armored Minesweeper,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
67dd1d74,装甲抢救车,Armored rescue vehicle,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
0ef427d3,装甲指挥车,Armored command vehicle,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
73f94d3c,装甲救护车,Armored ambulance,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
0c98a6ff,装甲架桥车,Armored bridge erecting vehicle,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
bfea2fa1,装甲输送车,armored carrier,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
0938198e,装甲通信车,Armored communication vehicle,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
f73608c1,装甲防护车,Armored protective vehicle,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
2acc25be,警用装甲车,Police armored vehicle,0a24a9ce,装甲车,Armored car,target_parameter_table_05panzer,
